winner,target,hand cards,used cards,winner score,loser score
AI-random,7,3 7 10 Q Q A A 2, 4 4 4 4 9 9 9 9 7 7 7 7 7 J J J J J 5 5 5 4 4 ,310,289
AI-random,1,3 7 10 A A 2, 4 4 4 4 9 9 9 9 7 7 7 7 7 J J J J J 5 5 5 4 4 K K K 6 6 ,310,289
AI-random,0,, 4 4 4 4 9 9 9 9 7 7 7 7 7 J J J J J 5 5 5 4 4 K K K 6 6 Q Q K K A A 2 2 8 8 8 8 3 7 9 10 Q 2 ,310,289
AI-forest-model,1,3 4 4 5 5 5 6 6 9 9 9 9 J J Q Q A A A 2 2 2 2, 10 J Q K A 5 7 9 K ,267,320
AI-forest-model,7,3 9 9 9 9 Q Q 2 2 2 2, 10 J Q K A 5 7 9 K 8 8 10 10 J J 2 2 7 7 7 3 3 A A A 6 6 ,267,320
AI-forest-model,0,4 4 4 4 5 5 5 6 6 7 7 8 8 9 9 10 10 10 J J J Q K K K A, ,321,270
AI-forest-model,2,4 4 4 4 5 5 5 6 6 7 7 8 8 9 9 10 10 10 J J J A, 3 4 Q ,321,270
AI-forest-model,0,4 4 4 4 5 5 5 6 6 7 7 8 8 9 9 10 10 10 J J J, 3 4 Q K K K ,321,270
AI-forest-model,4,4 4 4 4 5 5 5 6 6 10 10 10 J J J, 3 4 Q K K K A ,321,270
AI-forest-model,6,4 4 4 4 5 5 5 6 6, 3 4 Q K K K A 7 7 8 8 9 9 ,321,270
AI-forest-model,5,5 5 5 6 6, 3 4 Q K K K A 7 7 8 8 9 9 10 10 10 J J J ,321,270
AI-forest-model,0,4 4 4 4 7 7 8 8 8 8 9 9 10 10 10 J J Q Q 2 2, 5 5 5 3 3 6 6 6 3 3 ,309,283
